N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
158,대한유화,"220,000",0,0.00%,"5,000","14,300","6,500",17.70,"49,323",16.10,6.11,
159,NHN,"73,000",700,+0.97%,500,"14,282","19,565",11.31,"66,552",48.63,0.78,
160,한화에어로스페이스,"28,200",200,-0.70%,"5,000","14,278","50,630",18.28,"304,288",19.78,5.45,
161,KODEX 삼성그룹,"9,705",305,+3.24%,0,"14,218","146,500",0.03,"1,007,983",N/A,N/A,
162,영원무역,"31,450",450,-1.41%,500,"13,936","44,311",23.61,"225,499",8.51,9.82,
163,롯데정밀화학,"53,400","1,400",-2.55%,"5,000","13,777","25,800",22.90,"162,144",8.05,11.73,
164,메리츠금융지주,"9,950",550,-5.24%,500,"13,334","134,011",8.33,"377,199",2.86,15.26,
165,한전KPS,"29,600","1,600",-5.13%,200,"13,320","45,000",11.35,"649,194",10.99,14.98,
166,한국테크놀로지그룹,"14,300",350,-2.39%,500,"13,302","93,020",6.73,"283,357",11.94,4.71,
167,현대위아,"47,800",100,+0.21%,"5,000","12,999","27,195",11.80,"130,020",10.33,1.80,
168,F&F,"83,800","1,600",+1.95%,500,"12,905","15,400",10.05,"192,958",14.81,25.13,
169,KODEX 코스닥150 레버리지,"17,125",970,+6.00%,0,"12,895","75,300",0.46,"42,461,315",N/A,N/A,
170,SK디스커버리,"66,500","2,000",+3.10%,"5,000","12,660","19,038",9.50,"145,686",4.37,11.52,
171,일양약품,"65,100","4,400",+7.25%,"2,500","12,425","19,086",7.97,"625,247",120.33,5.20,
172,이노션,"59,500",900,-1.49%,500,"11,900","20,000",29.12,"54,487",18.53,9.88,
173,SK네트웍스,"4,770",85,-1.75%,"2,500","11,839","248,188",12.26,"931,598",-20.65,-5.85,
174,대한전선,"1,360",60,+4.62%,500,"11,648","856,473",2.04,"4,698,047",-75.56,-3.99,
175,DGB금융지주,"6,860",360,-4.99%,"5,000","11,603","169,146",46.59,"1,099,031",3.50,7.31,
176,KBSTAR 200,"38,710",645,+1.69%,0,"11,574","29,900",3.95,"370,941",N/A,N/A,
177,한국콜마,"50,100","2,050",+4.27%,500,"11,463","22,881",26.31,"547,151",36.04,6.39,
178,신세계인터내셔날,"159,000","2,000",+1.27%,"5,000","11,353","7,140",4.68,"27,504",25.18,12.98,
179,KG동부제철,"11,300",50,+0.44%,"5,000","11,301","100,009",0.13,"174,005",13.71,-7.44,
180,JB금융지주,"5,630",260,-4.41%,"5,000","11,090","196,983",38.87,"625,750",3.21,10.36,
181,더블유게임즈,"59,800",400,+0.67%,500,"10,988","18,375",14.75,"62,280",10.25,18.93,
182,후성,"11,750",150,+1.29%,500,"10,881","92,607",4.29,"2,858,448",-213.64,3.85,
183,코오롱인더,"40,200",300,+0.75%,"5,000","10,845","26,979",15.43,"146,162",7.20,1.58,
184,금호타이어,"3,770",70,+1.89%,"5,000","10,830","287,260",4.30,"524,925",-10.80,-3.30,
185,유나이티드제약,"65,200","2,400",-3.55%,500,"10,592","16,245",4.67,"2,804,815",35.21,12.79,
186,파미셀,"17,450","1,100",+6.73%,500,"10,463","59,959",8.43,"2,803,471",151.74,8.78,
187,LG전자우,"60,800","2,900",-4.55%,"5,000","10,449","17,186",46.93,"1,274,360",13.21,N/A,
188,롯데관광개발,"14,800",500,+3.50%,500,"10,253","69,276",5.25,"379,795",-21.73,-4.77,
189,휴켐스,"24,800",800,-3.12%,"1,000","10,138","40,879",8.65,"480,572",21.03,10.82,
190,GKL,"16,350",400,+2.51%,500,"10,113","61,856",5.90,"346,955",-76.05,12.62,
191,코스맥스,"98,700",300,+0.30%,500,"9,919","10,050",24.69,"57,134",24.43,10.45,
192,티와이홀딩스,"26,300","1,550",+6.26%,500,"9,863","37,501",7.38,"518,218",N/A,N/A,
193,영풍,"535,000","9,000",-1.65%,"5,000","9,855","1,842",4.67,"1,943",5.32,7.40,
194,롯데칠성,"109,500",500,-0.45%,500,"9,828","8,975",10.97,"20,868",-11.23,-11.68,
195,다우기술,"21,900",100,+0.46%,500,"9,826","44,867",22.46,"147,086",3.52,14.62,
196,현대홈쇼핑,"81,400","1,200",-1.45%,"5,000","9,768","12,000",27.15,"26,875",10.86,5.03,
197,코리안리,"8,030",520,-6.08%,500,"9,666","120,369",28.51,"785,539",6.47,8.04,
198,SK가스,"104,500","1,500",-1.42%,"5,000","9,646","9,230",8.94,"23,526",2.45,9.85,
199,KODEX 인버스,"4,365",70,-1.58%,0,"9,607","220,100",0.89,"39,208,072",N/A,N/A,
200,진원생명과학,"21,400","1,600",+8.08%,"1,000","9,581","44,771",11.17,"2,474,291",-62.03,-28.50,
